000616.SZ,CNE0000008H0,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000617.SZ,CNE000000MS3,6107000000000000,6107020000000000,6107020400000000,b10a000000000000,b10a030000000000,b10a030500000000
000619.SZ,CNE000000MR5,6106010000000000,6106010400000000,1000012548000000,b108000000000000,b108030000000000,b108030200000000
000620.SZ,CNE000000958,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000622.SZ,CNE0000007G4,1000012588000000,6109030000000000,6109030100000000,b10d000000000000,b10d030000000000,b10d030100000000
000623.SZ,CNE000000719,6115000000000000,6115050000000000,6115050100000000,b10i000000000000,b10i030000000000,b10i030100000000
000625.SZ,CNE000000R36,1000012588000000,6109040000000000,6109040100000000,b10d000000000000,b10d010000000000,b10d010100000000
000626.SZ,CNE000000H12,6120000000000000,6120020000000000,6120020100000000,b10e000000000000,b10e020000000000,b10e020100000000
000627.SZ,CNE000000F48,6103000000000000,6103040000000000,6103040900000000,b106000000000000,b106030000000000,b106030800000000
000628.SZ,CNE0000005X3,6123000000000000,6123010000000000,6123010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000629.SZ,CNE0000007H2,6102000000000000,6102020000000000,6102020100000000,b105000000000000,b105010000000000,b105010200000000
000630.SZ,CNE000000529,6105000000000000,1000012617000000,6105020300000000,b103000000000000,b103020000000000,b103020100000000
000631.SZ,CNE000000990,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000632.SZ,CNE000000685,6123000000000000,6123010000000000,6123010100000000,b10e000000000000,b10e020000000000,b10e020100000000
000633.SZ,CNE000000081,6107000000000000,6107040000000000,6107040700000000,b103000000000000,b103020000000000,b103020300000000
000635.SZ,CNE000000N71,6103000000000000,6103030000000000,6103030200000000,b106000000000000,b106030000000000,b106030200000000
000636.SZ,CNE000000GH8,6108000000000000,6108030000000000,1000004607000000,b10p000000000000,b10p030000000000,b10p030100000000
000637.SZ,CNE0000000M7,6103000000000000,6103050000000000,6103050100000000,b101000000000000,b101020000000000,b101020100000000
000638.SZ,CNE0000008Y5,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000639.SZ,CNE000000008,6101000000000000,6101020000000000,6101020200000000,b10k000000000000,b10k010000000000,b10k010300000000
000650.SZ,CNE000000NF8,6115000000000000,6115050000000000,6115050100000000,b10i000000000000,b10i020000000000,b10i020200000000
000651.SZ,CNE0000001D4,6111000000000000,6111010000000000,6111010200000000,b10g000000000000,b10g010000000000,b10g010100000000
000652.SZ,CNE0000005D5,6123000000000000,6123010000000000,6123010100000000,b10t000000000000,b10t010000000000,b10t010100000000
000655.SZ,CNE000000131,6102000000000000,6102020000000000,6102020100000000,b105000000000000,b105020000000000,b105020200000000
000656.SZ,CNE000000073,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000657.SZ,CNE0000006M4,6105000000000000,1000012541000000,1000012543000000,b103000000000000,b103030000000000,b103030100000000
000659.SZ,CNE0000000C8,6114000000000000,6114010000000000,6114010100000000,b109000000000000,b109020000000000,b109020200000000
000661.SZ,CNE0000007J8,6115000000000000,6115020000000000,6115020100000000,b10i000000000000,b10i030000000000,b10i030100000000
000662.SZ,CNE0000006N2,6103000000000000,6103040000000000,6103040400000000,b106000000000000,b106040000000000,b106040100000000
000663.SZ,CNE000000CS4,6101000000000000,6101010000000000,6101010100000000,b10k000000000000,b10k030000000000,b10k030100000000
000665.SZ,CNE0000000W6,6122010000000000,1000012604000000,6122040400000000,b10s000000000000,b10s010000000000,b10s010200000000
000666.SZ,CNE000000JN0,1000012613000000,6119010000000000,6119010100000000,b10m000000000000,b10m030000000000,b10m030100000000
000667.SZ,CNE0000001B8,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000668.SZ,CNE0000000Q8,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000669.SZ,CNE000000693,6116000000000000,6116030000000000,6116030100000000,b104000000000000,b104020000000000,b104020300000000
000670.SZ,CNE0000000V8,6108000000000000,6108010000000000,6108010300000000,b10p000000000000,b10p010000000000,b10p010100000000
000671.SZ,CNE000000206,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000672.SZ,CNE0000004Q0,6106010000000000,6106010200000000,1000012546000000,b108000000000000,b108010000000000,b108010100000000
000673.SZ,CNE000000NT9,6122010000000000,1000012607000000,1000004629000000,b10s000000000000,b10s010000000000,b10s010500000000
000676.SZ,CNE000000NN2,6107000000000000,6107030000000000,6107030100000000,b10a000000000000,b10a050000000000,b10a050100000000
000677.SZ,CNE0000000J3,6103000000000000,6103020000000000,6103020300000000,b106000000000000,b106020000000000,b106020400000000
000678.SZ,CNE0000008Z2,1000012588000000,6109030000000000,6109030100000000,b10a000000000000,b10a030000000000,b10a030400000000
000679.SZ,CNE0000008C1,6118000000000000,6118010000000000,6118010100000000,b10e000000000000,b10e020000000000,b10e020100000000
000680.SZ,CNE000000KZ2,6107000000000000,6107040000000000,6107040200000000,b10a000000000000,b10a010000000000,b10a010100000000
000681.SZ,CNE000000BW8,6122010000000000,1000012604000000,6122010200000000,b10r000000000000,b10r030000000000,b10r030200000000
