ticker,name,ISIN,申万行业分类,申万行业代码,中信行业分类,中信行业代码,上证50,沪深300,中证500,市值,申万一级名称,申万二级名称
000868.SZ,ST安凯,CNE000000SG5,汽车-汽车整车-商用载客车,1000012588000000-6109040000000000-6109040300000000,汽车--商用车--客车,b10d000000000000-b10d020000000000-b10d020200000000,否,否,否,31.97315172,汽车,汽车整车
000869.SZ,张裕A,CNE000001568,食品饮料-饮料制造-葡萄酒,6112000000000000-6112030000000000-6112030500000000,食品饮料--酒类--其他酒,b10j000000000000-b10j010000000000-1000034797000000,否,否,是,254.1700512,食品饮料,饮料制造
000875.SZ,吉电股份,CNE000001CR4,公用事业-电力-新能源发电,6116000000000000-6116010000000000-1000012600000000,电力及公用事业--发电及电网--火电,b104000000000000-b104010000000000-b104010100000000,否,否,否,87.14034759,公用事业,电力
000876.SZ,新希望,CNE000000VB0,农林牧渔-饲料Ⅱ-饲料Ⅲ,6101000000000000-6101040000000000-6101040100000000,农林牧渔--畜牧业--畜牧养殖,b10k000000000000-b10k020000000000-b10k020300000000,否,是,否,1120.879839,农林牧渔,饲料Ⅱ
000877.SZ,天山股份,CNE000000XV4,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,6106010000000000-6106010200000000-1000012546000000,建材--结构材料--水泥,b108000000000000-1000034723000000-1000034724000000,否,否,是,177.548797,建筑材料,水泥制造Ⅱ
000878.SZ,云南铜业,CNE000000W13,有色金属-工业金属-铜,6105000000000000-1000012617000000-6105020300000000,有色金属--工业金属--铜,b103000000000000-b103020000000000-b103020100000000,否,否,是,271.438666,有色金属,工业金属
000880.SZ,潍柴重机,CNE0000007S9,机械设备-通用机械-内燃机,6107000000000000-6107020000000000-6107020400000000,机械--通用设备--其他通用机械,b10a000000000000-b10a030000000000-b10a030500000000,否,否,否,27.03023895,机械设备,通用机械
000881.SZ,中广核技,CNE000000842,化工-化学制品-其他化学制品,6103000000000000-6103040000000000-6103040900000000,电力设备及新能源--电源设备--核电,b10b000000000000-b10b030000000000-b10b030200000000,否,否,否,83.76472721,化工,化学制品
000882.SZ,华联股份,CNE000000W70,商业贸易-商业物业经营-一般物业经营,6120000000000000-6120010300000000-1000012596000000,商贸零售--一般零售--百货,b10e000000000000-b10e010000000000-b10e010100000000,否,否,否,54.47330375,商业贸易,商业物业经营
000883.SZ,湖北能源,CNE000000750,公用事业-电力-水电,6116000000000000-6116010000000000-6116010200000000,电力及公用事业--发电及电网--火电,b104000000000000-b104010000000000-b104010100000000,否,否,是,270.0591537,公用事业,电力
